Season,Club,Expenditure,Arrivals,Income,Departures,Balance,Transfer
17-18,Tottenham Hotspur,28.400,2,0.000,2,-28.400,Winter
17-18,Stoke City,22.800,3,0.000,2,-22.800,Winter
17-18,Swansea City,22.800,5,0.000,5,-22.800,Winter
17-18,Southampton FC,22.000,2,84.650,4,62.650,Winter
17-18,Brighton & Hove Albion,18.000,4,0.000,4,-18.000,Winter
17-18,Huddersfield Town,12.350,5,0.600,5,-11.750,Winter
17-18,Crystal Palace,11.750,6,0.000,4,-11.750,Winter
17-18,West Ham United,11.400,7,38.370,7,26.970,Winter
17-18,Watford FC,9.900,7,0.240,7,-9.660,Winter
17-18,West Bromwich Albion,7.800,4,0.000,2,-7.800,Winter
17-18,Newcastle United,4.200,5,0.600,9,-3.600,Winter
17-18,Leicester City,2.000,3,2.200,4,0.200,Winter
17-18,Burnley FC,1.700,7,0.000,4,-1.700,Winter
17-18,AFC Bournemouth,0.000,4,0.000,6,0.000,Winter
18-19,Liverpool FC,182.200,18,20.120,16,-162.080,Summer
18-19,Chelsea FC,137.000,29,55.100,22,-81.900,Summer
18-19,Leicester City,114.600,17,85.800,13,-28.800,Summer
18-19,Fulham FC,113.500,15,4.500,12,-109.000,Summer
18-19,West Ham United,100.900,19,14.370,11,-86.540,Summer
18-19,Everton FC,99.800,25,24.050,18,-75.750,Summer
18-19,Wolverhampton Wanderers,91.750,29,6.100,31,-85.650,Summer
18-19,Manchester United,82.700,9,23.350,8,-59.350,Summer
18-19,Arsenal FC,77.650,16,7.900,12,-69.750,Summer
18-19,Brighton & Hove Albion,74.570,28,9.500,19,-65.070,Summer
18-19,Manchester City,71.190,20,37.100,16,-34.090,Summer
18-19,Southampton FC,62.250,16,11.400,13,-50.850,Summer
18-19,AFC Bournemouth,54.300,12,20.200,12,-34.100,Summer
18-19,Huddersfield Town,49.000,14,11.530,15,-37.470,Summer
18-19,Newcastle United,34.600,18,50.880,20,16.280,Summer
